,gc_content,mean_coverage
0,0.4875,4.9391
1,0.5257,4.2162
2,0.5284,3.715
3,0.516,4.0826
4,0.4217,4.9639
5,0.5189,4.3842
6,0.4166,5.0787
7,0.4771,4.9092
8,0.4166,5.1978
9,0.4237,4.597
10,0.5602,4.1754
11,0.5241,4.5229
12,0.5168,4.8503
13,0.4355,5.4426
14,0.5534,4.8711
15,0.4264,5.226
16,0.3813,5.6113
17,0.426,5.3834
18,0.4054,4.9868
19,0.4066,4.1889
20,0.4066,5.6138
21,0.3814,5.2175
22,0.3833,5.7689
23,0.3902,5.2152
24,0.3344,5.6426
25,0.364,5.7968
26,0.341,5.1805
27,0.3803,4.9678
28,0.3839,6.234
29,0.3902,5.6495
30,0.3952,5.1032
31,0.3682,4.7052
32,0.407,4.5324
33,0.3598,5.1727
34,0.348,5.6239
35,0.4334,5.2148
36,0.4037,4.9448
37,0.509,3.9336
38,0.4503,5.299
39,0.3837,5.345
40,0.3864,4.9012
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.4107,5.5109
48,0.3927,5.3361
49,0.3841,5.8352
50,0.5037,4.7315
51,0.4481,4.639
52,0.4571,5.0947
53,0.4161,5.9819
54,0.3757,5.533
55,0.4139,5.2118
56,0.3799,5.45
57,0.4717,5.3827
58,0.4175,5.6068
59,0.4107,4.887
60,0.4388,5.2488
61,0.3544,5.5744
62,0.3241,5.5295
63,0.3349,5.2152
64,0.3653,5.1374
65,0.3491,5.2054
66,0.3552,5.9973
67,0.4505,5.3009
68,0.4241,5.5593
69,0.3702,5.657
70,0.4684,5.0789
71,0.378,4.952
72,0.3451,4.8736
73,0.4016,5.0665
74,0.4699,4.8366
75,0.4688,5.5781
76,0.4191,5.04
77,0.4489,5.3429
78,0.4325,5.3024
79,0.357,5.8246
80,0.4082,5.528
81,0.3827,4.8202
82,0.4239,5.8374
83,0.4017,5.0949
84,0.4392,5.2989
85,0.5428,3.8391
86,0.3618,4.9884
87,0.4451,4.7058
88,0.417,5.835
89,0.4094,5.3591
90,0.3969,4.7927
91,0.4843,4.2698
92,0.3838,6.1144
93,0.3587,5.8272
94,0.3662,5.2084
95,0.3471,5.4523
96,0.3711,4.9023
97,0.4392,4.9099
98,0.3944,5.7462
99,0.4114,5.2136
100,0.3461,5.6623
101,0.356,5.8326
102,0.3491,5.8231
103,0.3782,5.8154
104,0.4928,4.2498
105,0.5583,4.7743
106,0.3538,5.3959
107,0.3654,5.4897
108,0.4069,5.566
109,0.3168,4.8559
110,0.5016,5.0294
111,0.442,4.904
112,0.4342,5.2322
113,0.5701,4.5839
114,0.4699,6.4684
115,0.4211,4.8256
116,0.4022,5.6111
117,0.3763,5.3082
118,0.4715,4.8435
119,0.3945,5.2502
120,0.3674,5.0924
121,0.3993,5.1387
122,0.3977,4.4883
123,0.3967,4.8416
124,0.5188,3.6783
125,0.4122,4.7174
126,0.3453,5.6466
127,0.3635,4.9955
128,0.3599,5.4784
129,0.3599,5.0683
130,0.3512,5.2201
131,0.3479,5.2682
132,0.3762,5.3839
133,0.3708,5.1597
134,0.3425,5.1585
135,0.3925,5.4888
136,0.3651,4.8958
137,0.3216,4.9994
138,0.4016,5.2288
139,0.4351,5.8042
140,0.4083,4.4116
141,0.3568,5.1336
142,0.3506,5.7359
143,0.3618,5.5056
144,0.3789,5.0717
145,0.3112,5.4975
146,0.3305,4.9205
147,0.3969,5.41
148,0.3729,5.1252
149,0.3656,4.6753
150,0.4543,5.4413
151,0.3853,5.0959
152,0.3153,5.2974
153,0.3588,5.3411
154,0.4364,5.4125
155,0.3995,5.6098
156,0.4009,4.9952
157,0.3744,4.9062
158,0.3939,6.7908
159,0.4882,4.5583
160,0.4962,4.3815
161,0.5583,4.4817
162,0.411,4.831
163,0.394,5.6284
164,0.3636,5.1757
165,0.4661,4.9004
166,0.4995,4.794
167,0.4194,5.9936
168,0.392,5.7801
169,0.4593,4.6894
170,0.39,5.4625
171,0.3848,4.8439
172,0.3697,5.7998
173,0.3296,5.0287
174,0.4254,4.772
175,0.3783,5.6026
176,0.4141,4.926
177,0.4024,6.2235
178,0.388,5.9286
179,0.4261,4.9447
180,0.4177,5.2461
181,0.4047,5.2146
182,0.3715,5.9155
183,0.392,5.584
184,0.3844,5.3047
185,0.4347,4.8896
186,0.5169,4.6951
187,0.3393,5.6878
188,0.3349,5.483
189,0.2941,3.9637
190,0.372,5.4114
191,0.4002,5.2734
192,0.3835,6.5387
193,0.3159,5.3562
194,0.3853,6.0648
195,0.3644,6.0753
196,0.3587,5.823
197,0.3578,5.1772
198,0.3628,5.2869
199,0.3963,5.127
200,0.3967,5.0203
201,0.4156,5.6485
202,0.4218,5.4478
203,0.4704,4.9457
204,0.442,4.8232
205,0.37,5.7417
206,0.4371,5.3475
207,0.3926,5.4224
208,0.4425,5.5037
209,0.4272,5.2704
210,0.3596,5.1599
211,0.3753,5.3312
212,0.3594,5.4303
213,0.4009,5.4481
214,0.3831,5.9726
215,0.3782,5.6914
216,0.372,5.1234
217,0.3511,5.7568
218,0.4246,5.3602
219,0.3881,5.8882
220,0.3659,4.9811
221,0.3952,5.5721
222,0.4311,4.68
223,0.4458,5.2648
224,0.4264,4.916
225,0.3954,5.564
226,0.4392,4.7812
227,0.4574,5.231
228,0.486,4.9243
229,0.4798,4.0734
230,0.5163,4.1521
231,0.4361,5.0497
232,0.3858,5.0182
233,0.3824,5.775
234,0.3794,5.0133
235,0.3615,5.0717
236,0.4697,5.0702
237,0.3258,5.7476
238,0.3336,5.2846
239,0.3592,5.3848
240,0.3983,5.7832
241,0.4547,5.0592
242,0.402,5.6012
243,0.3782,5.8601
244,0.4077,4.3998
245,0.4306,4.9539
246,0.3987,5.2043
247,0.3515,5.3813
248,0.3259,4.9808
249,0.3483,5.2996
250,0.3504,5.0628
251,0.3765,2.2816
252,0.411,4.9487
253,0.4652,4.3154
254,0.4168,5.7027
255,0.4046,5.5163
256,0.4057,4.7678
257,0.3764,5.1951
258,0.4048,5.1426
259,0.3764,4.9721
260,0.3277,5.4543
261,0.3581,5.7267
262,0.3754,5.6622
263,0.379,5.4184
264,0.3814,5.2957
265,0.4378,4.9214
266,0.3623,5.7089
267,0.371,4.7085
268,0.3645,5.529
269,0.3562,5.2981
270,0.4282,5.0428
271,0.3352,5.0243
272,0.3892,5.7896
273,0.3547,5.1799
274,0.4387,5.1257
275,0.3591,5.8104
276,0.3558,5.6946
277,0.3929,5.3084
278,0.3916,5.939
279,0.3569,4.7299
280,0.3788,4.9756
281,0.4487,5.0992
282,0.4324,5.2155
283,0.3483,5.3132
284,0.3777,4.9793
285,0.3974,5.2586
286,0.3562,5.4271
287,0.3545,5.2718
288,0.3911,4.6032
289,0.4744,5.2334
290,0.4063,5.0423
291,0.5747,3.9145
292,0.4242,5.3654
293,0.4142,5.1797
294,0.3849,5.4096
295,0.4388,5.0947
296,0.3548,5.4009
297,0.3272,4.503
298,0.3568,5.6189
299,0.351,5.1289
300,0.3524,5.3279
301,0.4117,5.6069
302,0.4125,5.8258
303,0.4113,4.9643
304,0.4112,5.5457
305,0.3912,5.583
306,0.3855,2.5595
307,0.3964,13.7992
308,0.344,5.7559
309,0.4707,4.6834
310,0.3517,5.0264
311,0.3812,5.3817
312,0.3535,5.2263
313,0.3874,5.4821
314,0.4579,4.558
315,0.3736,5.4082
316,0.4783,4.6081
317,0.4006,5.0341
318,0.3598,5.0382
319,0.3308,5.6478
320,0.3519,5.3865
321,0.3805,5.1407
322,0.3353,4.9682
323,0.3921,6.063
324,0.3674,5.55
325,0.3522,5.5368
326,0.3406,5.1292
327,0.3966,5.6355
328,0.4474,4.9443
329,0.4176,5.2147
330,0.3406,5.5165
331,0.405,5.1126
332,0.3746,5.2912
333,0.4026,5.7143
334,0.3885,5.8102
335,0.3872,5.3755
336,0.4083,5.1425
337,0.405,4.7427
338,0.5032,4.5123
339,0.3982,5.327
340,0.3536,4.5871
341,0.4732,5.403
342,0.3756,5.3915
343,0.4066,5.3254
344,0.4011,6.2032
345,0.3477,5.3598
346,0.4077,4.5454
347,0.4719,4.915
348,0.5042,5.1869
349,0.4301,4.6166
350,0.5035,4.4557
351,0.4096,5.3911
352,0.4559,4.3822
353,0.4582,4.3117
354,0.4074,5.7246
355,0.4046,5.8096
356,0.3986,5.3476
357,0.3667,5.4032
358,0.3527,5.0693
359,0.411,4.8694
360,0.3615,5.84
361,0.4033,5.6442
362,0.5117,4.7503
363,0.4857,4.9507
364,0.3971,5.5176
365,0.5241,4.3524
366,0.3835,5.187
367,0.3998,5.197
368,0.4376,5.1951
369,0.3958,5.9389
370,0.3981,10.8398
371,0.4,5.4678
372,0.403,4.5606
373,0.3527,5.8477
374,0.4013,4.7774
375,0.3616,5.314
376,0.3654,5.2314
377,0.3521,4.1724
378,0.3692,4.947
379,0.4228,4.9423
380,0.3913,5.9024
381,0.413,4.8272
382,0.3495,5.2784
383,0.3887,5.4766
384,0.342,5.3282
385,0.331,5.0206
386,0.4408,4.7839
387,0.4027,4.8921
388,0.4081,5.0898
389,0.3855,5.0046
390,0.3768,5.4076
391,0.4062,6.138
392,0.3519,5.2082
393,0.3578,5.4281
