,chrom,start,end,mean_coverage,median_coverage,std_coverage
2,chr1,8312956,8322956,3.715,3.0,2.3888438626247637
37,chr1,113064858,113074858,3.9336,4.0,2.841512104496477
41,chr1,125653783,125663783,0.0,0.0,0.0
42,chr1,127147574,127157574,0.0,0.0,0.0
43,chr1,129215252,129225252,0.0,0.0,0.0
44,chr1,133955393,133965393,0.0,0.0,0.0
45,chr1,136514018,136524018,0.0,0.0,0.0
46,chr1,138875161,138885161,0.0,0.0,0.0
85,chr2,10274666,10284666,3.8391,4.0,2.0982400220184534
124,chr2,127423423,127433423,3.6783,3.0,2.4128425373405533
189,chr3,82908428,82918428,3.9637,4.0,2.3718310036762738
251,chr4,69308487,69318487,2.2816,2.0,1.4946241801871132
291,chr5,1407105,1417105,3.9145,4.0,2.083120195764037
306,chr5,46877727,46887727,2.5595,2.0,2.3250504833228893
432,chr7,76513281,76523281,3.7603,4.0,1.970239556500681
507,chr8,141427514,141437514,2.8123,3.0,2.0124782508141545
523,chr9,46224605,46234605,0.0,0.0,0.0
524,chr9,50569979,50579979,0.0,0.0,0.0
525,chr9,51760758,51770758,0.0,0.0,0.0
526,chr9,54975510,54985510,0.0,0.0,0.0
527,chr9,58527337,58537337,0.0,0.0,0.0
529,chr9,63443193,63453193,3.1127,3.0,2.5083856780806255
550,chr9,126908596,126918596,3.8885,4.0,2.585511119682141
552,chr9,133159845,133169845,3.6691,4.0,1.7308394466269827
567,chr10,39913710,39923710,0.8059,0.0,1.4101862252908302
577,chr10,70883093,70893093,3.9526,4.0,2.109443822432823
598,chr11,1962626,1972626,1.7969,2.0,1.4477052151594951
613,chr11,47033371,47043371,2.205,0.0,3.092147312144103
615,chr11,53410503,53420503,3.8769,4.0,2.6648351525000566
687,chr13,586612,596612,0.0,0.0,0.0
688,chr13,3342012,3352012,0.0,0.0,0.0
689,chr13,7897322,7907322,0.0,0.0,0.0
690,chr13,11149786,11159786,0.0,0.0,0.0
691,chr13,14628298,14638298,0.0,0.0,0.0
692,chr13,15757316,15767316,0.0,0.0,0.0
697,chr13,30831930,30841930,3.825,4.0,2.6235043358073566
725,chr14,1291337,1301337,0.0,0.0,0.0
726,chr14,4611797,4621797,0.0,0.0,0.0
727,chr14,6332769,6342769,0.0,0.0,0.0
728,chr14,11315956,11325956,0.0,0.0,0.0
729,chr14,14834299,14844299,0.0,0.0,0.0
730,chr14,15736195,15746195,0.0,0.0,0.0
760,chr15,1420123,1430123,0.0,0.0,0.0
761,chr15,4515260,4525260,0.0,0.0,0.0
762,chr15,6256112,6266112,0.0,0.0,0.0
763,chr15,10013824,10023824,0.0,0.0,0.0
764,chr15,12334713,12344713,0.0,0.0,0.0
793,chr16,233016,243016,3.6189,3.0,2.113116842486473
803,chr16,30877720,30887720,3.8845,4.0,2.031295091807195
804,chr16,34506513,34516513,1.3781,1.0,1.3137505052330143
805,chr16,38933303,38943303,0.0,0.0,0.0
806,chr16,40013607,40023607,0.0,0.0,0.0
807,chr16,43951404,43961404,0.0,0.0,0.0
822,chr16,89703462,89713462,3.4611,3.0,2.372443211122239
823,chr17,945200,955200,3.9959,3.0,3.9660160350154916
825,chr17,6068337,6078337,3.9185,4.0,2.4209208475288904
831,chr17,24332431,24342431,0.3724,0.0,0.7839121379338376
849,chr17,78298786,78308786,3.8994,4.0,2.399141438098221
855,chr18,16496826,16506826,3.6599,3.0,3.6152222601107113
856,chr18,19688363,19698363,3.8233,2.0,4.4002133027843096
876,chr19,283047,293047,3.571,3.0,2.731475608531037
878,chr19,8522406,8532406,3.7395,4.0,2.0483749046500255
884,chr19,25015313,25025313,0.0,0.0,0.0
887,chr19,34496384,34506384,3.6925,4.0,1.9746249643919729
893,chr19,53412989,53422989,3.9197,4.0,2.226892882471
916,chr21,1389362,1399362,0.0,0.0,0.0
917,chr21,4708533,4718533,0.0,0.0,0.0
918,chr21,8883248,8893248,2.3154,0.0,3.770241748217215
920,chr21,12397344,12407344,0.0,0.0,0.0
930,chr21,44223293,44233293,1.8834,2.0,1.5767702559345798
931,chr22,711481,721481,0.0,0.0,0.0
932,chr22,3279990,3289990,0.0,0.0,0.0
933,chr22,6670882,6680882,0.0,0.0,0.0
936,chr22,15000805,15010805,0.0,0.0,0.0
938,chr22,22506053,22516053,2.7271,3.0,1.5116962624813226
