,chrom,start,end,mean_coverage,median_coverage,std_coverage
28,chr1,85434652,85444652,6.234,6.0,2.4378769452127806
92,chr2,32529632,32539632,6.1144,6.0,2.3733336554306894
114,chr2,97259275,97269275,6.4684,6.0,3.189953203418508
158,chr2,230334542,230344542,6.7908,7.0,2.8052870370070866
177,chr3,47151302,47161302,6.2235,6.0,2.8324102368830686
192,chr3,92637799,92647799,6.5387,6.0,5.3367876395824485
194,chr3,98996539,99006539,6.0648,6.0,2.4071561976739275
195,chr3,100842924,100852924,6.0753,6.0,2.2326284755865675
307,chr5,50035816,50045816,13.7992,8.0,16.541066451713444
323,chr5,96441562,96451562,6.063,6.0,2.4068300729382623
344,chr5,159624872,159634872,6.2032,6.0,2.4265015474959006
370,chr6,58761756,58771756,10.8398,10.0,7.402319633736441
391,chr6,121792972,121802972,6.138,6.0,2.547892462408883
412,chr7,17524317,17534317,6.038,6.0,2.6656248798358706
439,chr7,96852466,96862466,6.3396,6.0,2.565243037218891
442,chr7,105216131,105226131,6.0119,6.0,2.8547431390582236
483,chr8,71161302,71171302,6.1345,6.0,2.5961143561099154
485,chr8,77845393,77855393,6.1015,6.0,2.4835453992226517
501,chr8,125171287,125181287,6.0679,6.0,2.411200860567199
521,chr9,40154169,40164169,6.492,6.0,3.257627357448976
545,chr9,112798887,112808887,6.6647,6.0,4.521932541513639
566,chr10,38633371,38643371,6.6854,6.0,3.1919315218218576
599,chr11,5230464,5240464,6.1418,6.0,2.3276796944597
609,chr11,33324643,33334643,6.3637,6.0,2.478471769054471
623,chr11,76030272,76040272,6.1345,6.0,2.293471113835969
656,chr12,41825977,41835977,6.0632,6.0,2.4792752489386896
673,chr12,92811457,92821457,6.2748,6.0,2.419852259953074
756,chr14,94211481,94221481,6.0439,6.0,2.5124037872125573
780,chr15,61014760,61024760,6.0155,6.0,2.44533428185187
800,chr16,22646624,22656624,11.0521,11.0,3.2107609051438257
808,chr16,47330975,47340975,6.0846,6.0,2.518261868829372
830,chr17,21849257,21859257,9.9007,9.0,5.944614328112463
863,chr18,40201965,40211965,6.0525,6.0,2.7105615193166157
871,chr18,64150966,64160966,6.0808,6.0,2.635615935602151
881,chr19,15880558,15890558,6.2207,6.0,2.9164690140647815
888,chr19,36299412,36309412,18.1742,17.0,9.798227102899789
904,chr20,27007545,27017545,12.3907,9.0,11.937732343707493
905,chr20,30992267,31002267,6.6192,6.0,4.607992118048815
919,chr21,9174617,9184617,7.6568,7.0,4.4111465357659565
927,chr21,35595430,35605430,6.0163,6.0,2.5856206817706266
934,chr22,11034652,11044652,26.5422,26.0,8.192497736343904
